Coming ^vbg+++xvbg+=Coming.
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
be ^vb+be+aux++=be
worried ^jj++agls+xvbnx+=worried
that ^tht+jcmp+++=that
a ^at++++=a
girl ^nn++++=girl
who ^whp+rel+obj++=who
s ^zz++++=s
never ^rb++++=never
played ^vbd+++xvbn+=played
chess ^nn++++=chess
in ^in++++=in
her ^pp$+pp3+++=her
life ^nn++++=life
just ^rb+emph+++=just
kicked ^vbd+++xvbn+=kicked
your ^pp$+pp2+++=your
ass ^nn++++=ass.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
hell ^nn++++=hell?!
? ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
get ^vb++++=get
bongos ^vbz+++??+=bongos?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
three ^cd++++=three
o ^zz++++=o
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
care ^nn++++=care
if ^cs+cnd+++=if
Richard ^np++++=Richard
Feynman ^np+++??+=Feynman
was ^vbd+bedz+vrb++=was
a ^at++++=a
purple ^jj+atrb+++=purple
leprechaun ^nn+++??+=leprechaun
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
my ^pp$+pp1+++=my
butt ^nn++++=butt.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
craziness ^nns+nom+++=craziness
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
on ^in++++=on
long ^rb++++=long
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
come ^vb++++=come
home ^nr++++=home
so ^ql++++=so
I ^pp1a+pp1+++=I
can ^md+pos+++=can
cut ^vb+++xvbn+=cut
your ^pp$+pp2+++=your
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ve ^jj+++??+=ve
known ^vbn+vprv++xvbn+=known
each ^dt++++=each
other ^ap++++=other
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
right ^jj++++=right?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
taken ^vwbn+++xvbn+=taken
you ^pp2+pp2+++=you
to ^in++++=to
Disneyland ^np+++??+=Disneyland,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kicked ^vbd+++xvbnx+=kicked
a ^at++++=a
bully ^nn++++=bully
in ^in++++=in
the ^ati++++=the
nuts ^nns++++=nuts
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sing ^vb++++=sing
you ^pp2+pp2+++=you
Soft ^jj+atrb+++=Soft
Kitty ^np++++=Kitty
when ^wrb+who+++=when
you ^pp2+pp2+++=you
re ^in++++=re
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ve ^nn+++??+=ve
even ^rb++++=even
saw ^vbd+vprv++xvbn+=saw
me ^pp1o+pp1+++=me
naked ^jj++++=naked
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
m ^zz++++=m
doing ^vwbg+++xvbg+=doing.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
cut ^vbd+++xvbn+=cut
your ^pp$+pp2+++=your
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
any ^dti++++=any
dirty ^jj+atrb+++=dirty
jokes ^nns++++=jokes.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think?
? ^zz++++=EXTRAWORD
Ha ^uh++++=Ha,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
gonna ^md+prd+++0=gonna
clean ^jj++++=clean
up ^rp++++=up
your ^pp$+pp2+++=your
neck ^nn++++=neck
a ^rb++++=a
little ^rb"++++=little
and ^cc+phrs+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
good ^jj+pred+++=good
to ^to+jcmp+++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
yep ^nn+++??+=yep,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
all ^abn++++=all
done ^vwbn+++xvbn+=done
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
just ^rb+cnj+++=just,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
take ^vb++++=take
that ^cs+sub+++=that
away ^in+pl+++=away
from ^in"++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
welcome ^jj+pred+++=welcome.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
gonna ^md+prd+++0=gonna
have ^md"++pmd"++=have
to ^md+nec+++=to
move ^vb++++=move.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don
t ^zz++++=t
have ^md"++pmd"++=have
to ^md+nec+++=to
check ^vb+vprv+++=check
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
whatever ^nn+nom+++=whatever
you ^pp2+pp2+++=you
want ^vb++++=want.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
were ^vbd+bed+aux++=were
you ^pp2+pp2+++=you
hoping ^vbg+vprv++xvbg+=hoping
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
an ^at++++=an
actress ^nns+nom+++=actress.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
me ^pp1o+pp1+++=me
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Whu ^np+++??+=Whu
the ^ati++++=the
entire ^jjb+atrb+++=entire
weekend ^nn++++=weekend?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
wouldn ^nn+++??+=wouldn
t ^zz++++=t
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
at ^rb++++=at
all ^abn++++=all?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
ju ^&fw++++=ju
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
into ^in+ppvb+++=into.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
t ^zz++++=t
put ^vprf+++xvbn+=put
a ^at++++=a
saddle ^nn++++=saddle
on ^in++++=on
Leonard ^np++++=Leonard
Hofstadter ^np+nom++??+=Hofstadter.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
getting ^vbg+++xvbg+=getting
hot ^jj++++=hot
in ^in++++=in
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
Ay ^uh++++=Ay,
, ^zz++++=EXTRAWORD
papi ^nn+++??+=papi.
. ^zz++++=EXTRAWORD
An ^at++++=An
acting ^jj+atrb++xvbg+=acting
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Choo ^np+++??+=Choo
got ^vbd+++xvbn+=got
a ^at++++=a
problem ^nn++++=problem
with ^in++++=with
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
papi ^nn+++??+=papi?
? ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry,
, ^zz++++=EXTRAWORD
Stallion ^nn++++=Stallion.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
weird ^jj+atrb+++=weird
friend ^nn++++=friend
Giraffe ^np+++??+=Giraffe
is ^vbz+bez+vrb++=is
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Gummy ^np+++??+=Gummy
bears ^vbz++++=bears?
? ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
chance ^nn++++=chance.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
sweetie ^nn++++=sweetie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
involved ^vbd+++xvbn+=involved
in ^in++++=in
your ^pp$+pp2+++=your
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
look ^vb++++=look
in ^in++++=in
your ^pp$+pp2+++=your
ear ^nn++++=ear
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
ladybug ^nn+++??+=ladybug
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
look ^vb++++=look
in ^in++++=in
your ^pp$+pp2+++=your
ear ^nn++++=ear
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
ladybug ^nn+++??+=ladybug
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
that ^tht+rel+++=that?
? ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
s ^zz++++=s
wrong ^jj++++=wrong?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
didn ^nn+++??+=didn
t ^zz++++=t
cheat ^vb++++=cheat
on ^in++++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
so ^ql++++=so
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
s ^zz++++=s
Armin ^np+++??+=Armin
the ^ati++++=the
miniature ^nn++++=miniature
horse ^nn++++=horse
breeder ^jjr++++=breeder?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
at ^rb++++=at
a ^at++++=a
miniature ^nn++++=miniature
horse ^nn++++=horse
show ^vb+vprv+++=show.
. ^zz++++=EXTRAWORD
Mm ^nnu++++=Mm.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
your ^pp$+pp2+++=your
first ^od++++=first
boyfriend ^vb+++??+=boyfriend
and ^cc++++=and
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
On ^in++++=On
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sickly ^jj++++=sickly
is ^vbz+bez+vrb++=is
the ^ati++++=the
new ^jj+atrb+++=new
sexy ^nn+++??+=sexy.
. ^zz++++=EXTRAWORD
Mm ^nnu++++=Mm.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
you ^pp2+pp2+++=you
re ^in++++=re
in ^in++++=in
a ^at++++=a
relationship ^nn+nom+++=relationship
with ^in++++=with
someone ^pn++++=someone
you ^pp2+pp2+++=you
really ^rb+emph+++=really
care ^nn++++=care
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sucky ^nn+++??+=sucky
part ^nn++++=part
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
leaves ^vbz++++=leaves
you ^pp2+pp2+++=you
open ^vb++++=open
to ^to++++=to
getting ^vbi++++=getting
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
hilarious ^jj++++=hilarious.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
re ^in++++=re
playing ^xvbg+++xvbg+=playing
one ^pn++++=one
across ^in+pl+++=across
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
gonna ^md+prd+++0=gonna
take ^vb++++=take
turns ^nns++++=turns
bouncing ^vwbg+++xvbg+=bouncing
a ^at++++=a
quarter ^nn++++=quarter
off ^in+pl+++=off
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
it ^pp3+it+++=it
goes ^vbz++++=goes
into ^in++++=into
this ^dt+dem+++=this
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
person ^nn++++=person
has ^md"++pmd"++=has
to ^md+nec+++=to
drink ^vb++++=drink.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
get ^vb++++=get
to ^to+vcmp+++=to
go ^vbi++++=go
again ^rb+tm+++=again
Wow ^nn++++=Wow.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
b ^zz++++=b-beginner
- ^zz++++=EXTRAWORD
beginner ^nn+nom+++=EXTRAWORD
s ^zz++++=s
luck ^nn++++=luck.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
will ^md+prd+++=will
drink ^vb++++=drink
this ^dt+dem+++=this
entire ^jjb+atrb+++=entire
cup ^nn++++=cup
of ^in++++=of
beer ^nn++++=beer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
go ^vb++++=go
again ^rb+tm+++=again
and ^cc++++=and
we ^pp1a+pp1+++=we
can ^md+pos+++=can
uh ^uh++++=uh
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
m ^zz++++=m
gonna ^md+prd+++0=gonna
drink ^vb++++=drink
this ^dt+dem+++=this
entire ^jjb+atrb+++=entire
cup ^nn++++=cup
and ^cc++++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
drink ^vb++++=drink
another ^dt++++=another
one ^cd1++++=one
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
seriously ^rb+cnj+++=seriously,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
hell ^nn++++=hell?
? ^zz++++=EXTRAWORD
Whoa ^np+++??+=Whoa,
, ^zz++++=EXTRAWORD
whoa ^nn+++??+=whoa,
, ^zz++++=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
a ^at++++=a
second ^od++++=second
to ^to++++=to
catch ^vbi++++=catch
up ^rp++++=up
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Hold ^nn++++=Hold
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Wars ^nns++++=Wars.
. ^zz++++=EXTRAWORD
Star ^nn++++=Star
Wars ^nns++++=Wars.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
get ^vb++++=get
all ^rb++++=all
cranky ^jj++++=cranky
when ^wrb+who+++=when
you ^pp2+pp2+++=you
mix ^vb++++=mix
the ^ati++++=the
two ^cd++++=two
up ^rp++++=up.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
s ^zz++++=s
absolutely ^rb+amp+++=absolutely
no ^at++++=no
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
give ^vb++++=give
you ^pp2+pp2+++=you
a ^rb++++=a
little ^rb"++++=little
girlfriend ^jj+++??+=girlfriend
101 ^cd++++=101.
. ^zz++++=EXTRAWORD
Usually ^rb+down+++=Usually
the ^ati++++=the
first ^od++++=first
move ^vb++++=move
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
gate ^nn++++=gate
is ^vbz+bez+aux++=is
you ^pp2+pp2+++=you
withhold ^vb++++=withhold
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
will ^md+prd+++=will
work ^vb++++=work
better ^jjr++++=better
after ^in++++=after
Sheldon ^np++++=Sheldon
hits ^nns++++=hits
puberty ^nn++++=puberty.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
say ^vb+vpub+++=say
give ^vb++++=give
him ^pp3o+pp3+++=him
the ^ati++++=the
silent ^jj+atrb+++=silent
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
Hmm ^np+++??+=Hmm.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
re ^in++++=re
gonna ^md+prd+++0=gonna
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
with ^in++++=with
an ^at++++=an
oldie ^nn+++??+=oldie
but ^cc++++=but
goodie ^nn+++??+=goodie,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
a ^at++++=a
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
why ^wrb+who+++=why
you ^pp2+pp2+++=you
re ^in++++=re
lucky ^jj++++=lucky
to ^to+jcmp+++=to
have ^vbi++vrb++=have
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Back ^jjb++++=Back
in ^in++++=in
Omaha ^np+++??+=Omaha,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
different ^jj+atrb+++=different
restaurants ^nns+nom+++=restaurants
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
allowed ^vbd+++xvbn+=allowed
into ^in+strn+++=into.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
Chili ^nn++++=Chili
s ^zz++++=s.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
pick ^vb++++=pick
that ^dt+dem+++=that
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
pick ^vb++++=pick
that ^dt+dem+++=that
bone ^nn++++=bone
clean ^jj++++=clean!
! ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
burn ^vb++++=burn!
! ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
show ^vbi+vprv+tht0++=show
you ^pp2+pp2+++=you
off ^rp+pl+++=off
to ^in++++=to
her ^pp$+pp3+++=her
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
stood ^vbd+++xvbn+=stood
her ^pp$+pp3+++=her
up ^rp++++=up,
, ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
this ^dt+dem+++=this
adorable ^jj++++=adorable,
, ^zz++++=EXTRAWORD
smushy ^nn+++??+=smushy
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Smush ^np+++??+=Smush,
, ^zz++++=EXTRAWORD
smush ^nn+++??+=smush,
, ^zz++++=EXTRAWORD
smush ^nn+++??+=smush,
, ^zz++++=EXTRAWORD
smush ^nn+++??+=smush.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
hurt ^vbd+++xvbn+=hurt
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
doesn ^nn+++??+=doesn
t ^zz++++=t
want ^vb++++=want
your ^pp$+pp2+++=your
stupid ^jj++++=stupid
And ^cc++++=And
that ^dt+dem+++=that
s ^zz++++=s
how ^wrb+who+++=how
a ^at++++=a
girl ^nn++++=girl
makes ^vbz++++=makes
a ^at++++=a
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
sweetie ^nn++++=sweetie.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
deserve ^vb++++=deserve
your ^pp$+pp2+++=your
weekend ^nn++++=weekend.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
go ^vb++++=go.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
let ^vbd+++xvbn+=let
you ^pp2+pp2+++=you
hold ^vb+vprv+tht0++=hold
my ^pp$+pp1+++=my
hair ^nn++++=hair
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
throw ^vb++++=throw
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
my ^pp$+pp1+++=my
God ^nn++++=God,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
this ^dt+dem+++=this
chicken ^nn++++=chicken.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
right ^nn++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
eat ^vb++++=eat
your ^pp$+pp2+++=your
food ^nn++++=food
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
raid ^vb++++=raid
my ^pp$+pp1+++=my
fridge ^nn+++??+=fridge
any ^dti++++=any
time ^nn++++=time
you ^pp2+pp2+++=you
want ^vb++++=want.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
bringing ^vwbg+++xvbg+=bringing
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
bringing ^vbg+++xvbg+=bringing?
? ^zz++++=EXTRAWORD
Hi ^uh++++=Hi,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
